2025-04-19 19:54:01,808 - INFO - Đang sử dụng thiết bị: cuda
2025-04-19 19:54:07,556 - INFO - Đang xử lý thư mục chính: Keyframes_L05
2025-04-19 19:54:07,556 - INFO - Thư mục L05_V031 đã xử lý, bỏ qua.
2025-04-19 19:54:07,557 - INFO - Thư mục L05_V021 đã xử lý, bỏ qua.
2025-04-19 19:54:07,557 - INFO - Thư mục L05_V006 đã xử lý, bỏ qua.
2025-04-19 19:54:07,557 - INFO - Thư mục L05_V027 đã xử lý, bỏ qua.
2025-04-19 19:54:07,557 - INFO - Thư mục L05_V020 đã xử lý, bỏ qua.
2025-04-19 19:54:07,557 - INFO - Thư mục L05_V014 đã xử lý, bỏ qua.
2025-04-19 19:54:07,557 - INFO - Thư mục L05_V030 đã xử lý, bỏ qua.
2025-04-19 19:54:07,557 - INFO - Thư mục L05_V016 đã xử lý, bỏ qua.
2025-04-19 19:54:07,557 - INFO - Thư mục L05_V008 đã xử lý, bỏ qua.
2025-04-19 19:54:07,557 - INFO - Thư mục L05_V028 đã xử lý, bỏ qua.
2025-04-19 19:54:07,557 - INFO - Thư mục L05_V015 đã xử lý, bỏ qua.
2025-04-19 19:54:07,557 - INFO - Thư mục L05_V029 đã xử lý, bỏ qua.
2025-04-19 19:54:07,558 - INFO - Thư mục L05_V017 đã xử lý, bỏ qua.
2025-04-19 19:54:07,558 - INFO - Thư mục L05_V007 đã xử lý, bỏ qua.
2025-04-19 19:54:07,558 - INFO - Thư mục L05_V012 đã xử lý, bỏ qua.
2025-04-19 19:54:07,558 - INFO - Thư mục L05_V024 đã xử lý, bỏ qua.
2025-04-19 19:54:07,558 - INFO - Thư mục L05_V018 đã xử lý, bỏ qua.
2025-04-19 19:54:07,558 - INFO - Thư mục L05_V026 đã xử lý, bỏ qua.
2025-04-19 19:54:07,558 - INFO - Thư mục L05_V010 đã xử lý, bỏ qua.
2025-04-19 19:54:07,558 - INFO - Thư mục L05_V025 đã xử lý, bỏ qua.
2025-04-19 19:54:07,558 - INFO - Thư mục L05_V001 đã xử lý, bỏ qua.
2025-04-19 19:54:07,558 - INFO - Thư mục L05_V023 đã xử lý, bỏ qua.
2025-04-19 19:54:07,558 - INFO - Thư mục L05_V003 đã xử lý, bỏ qua.
2025-04-19 19:54:07,558 - INFO - Thư mục L05_V009 đã xử lý, bỏ qua.
2025-04-19 19:54:07,558 - INFO - Thư mục L05_V019 đã xử lý, bỏ qua.
2025-04-19 19:54:07,559 - INFO - Thư mục L05_V011 đã xử lý, bỏ qua.
2025-04-19 19:54:07,559 - INFO - Thư mục L05_V004 đã xử lý, bỏ qua.
2025-04-19 19:54:07,559 - INFO - Thư mục L05_V002 đã xử lý, bỏ qua.
2025-04-19 19:54:07,559 - INFO - Thư mục L05_V013 đã xử lý, bỏ qua.
2025-04-19 19:54:07,559 - INFO - Thư mục L05_V005 đã xử lý, bỏ qua.
2025-04-19 19:54:07,559 - INFO - Thư mục L05_V022 đã xử lý, bỏ qua.
2025-04-19 19:54:07,559 - INFO - Đang xử lý thư mục chính: Keyframes_L01
2025-04-19 19:54:07,559 - INFO - Thư mục L01_V030 đã xử lý, bỏ qua.
2025-04-19 19:54:07,559 - INFO - Thư mục L01_V018 đã xử lý, bỏ qua.
2025-04-19 19:54:07,559 - INFO - Thư mục L01_V026 đã xử lý, bỏ qua.
2025-04-19 19:54:07,560 - INFO - Thư mục L01_V029 đã xử lý, bỏ qua.
2025-04-19 19:54:07,560 - INFO - Thư mục L01_V022 đã xử lý, bỏ qua.
2025-04-19 19:54:07,560 - INFO - Thư mục L01_V028 đã xử lý, bỏ qua.
2025-04-19 19:54:07,560 - INFO - Thư mục L01_V010 đã xử lý, bỏ qua.
2025-04-19 19:54:07,560 - INFO - Thư mục L01_V016 đã xử lý, bỏ qua.
2025-04-19 19:54:07,560 - INFO - Thư mục L01_V023 đã xử lý, bỏ qua.
2025-04-19 19:54:07,560 - INFO - Thư mục L01_V013 đã xử lý, bỏ qua.
2025-04-19 19:54:07,560 - INFO - Thư mục L01_V006 đã xử lý, bỏ qua.
2025-04-19 19:54:07,560 - INFO - Thư mục L01_V020 đã xử lý, bỏ qua.
2025-04-19 19:54:07,560 - INFO - Thư mục L01_V003 đã xử lý, bỏ qua.
2025-04-19 19:54:07,560 - INFO - Thư mục L01_V001 đã xử lý, bỏ qua.
2025-04-19 19:54:07,560 - INFO - Thư mục L01_V002 đã xử lý, bỏ qua.
2025-04-19 19:54:07,560 - INFO - Thư mục L01_V017 đã xử lý, bỏ qua.
2025-04-19 19:54:07,560 - INFO - Thư mục L01_V021 đã xử lý, bỏ qua.
2025-04-19 19:54:07,561 - INFO - Thư mục L01_V004 đã xử lý, bỏ qua.
2025-04-19 19:54:07,561 - INFO - Thư mục L01_V011 đã xử lý, bỏ qua.
2025-04-19 19:54:07,561 - INFO - Thư mục L01_V015 đã xử lý, bỏ qua.
2025-04-19 19:54:07,561 - INFO - Thư mục L01_V025 đã xử lý, bỏ qua.
2025-04-19 19:54:07,561 - INFO - Thư mục L01_V012 đã xử lý, bỏ qua.
2025-04-19 19:54:07,561 - INFO - Thư mục L01_V031 đã xử lý, bỏ qua.
2025-04-19 19:54:07,561 - INFO - Thư mục L01_V014 đã xử lý, bỏ qua.
2025-04-19 19:54:07,561 - INFO - Thư mục L01_V009 đã xử lý, bỏ qua.
2025-04-19 19:54:07,561 - INFO - Thư mục L01_V007 đã xử lý, bỏ qua.
2025-04-19 19:54:07,561 - INFO - Thư mục L01_V019 đã xử lý, bỏ qua.
2025-04-19 19:54:07,561 - INFO - Thư mục L01_V005 đã xử lý, bỏ qua.
2025-04-19 19:54:07,561 - INFO - Thư mục L01_V024 đã xử lý, bỏ qua.
2025-04-19 19:54:07,561 - INFO - Thư mục L01_V027 đã xử lý, bỏ qua.
2025-04-19 19:54:07,562 - INFO - Thư mục L01_V008 đã xử lý, bỏ qua.
2025-04-19 19:54:07,562 - INFO - Đang xử lý thư mục chính: Keyframes_L10
2025-04-19 19:54:07,562 - INFO - Thư mục L10_V016 đã xử lý, bỏ qua.
2025-04-19 19:54:07,562 - INFO - Thư mục L10_V008 đã xử lý, bỏ qua.
2025-04-19 19:54:07,562 - INFO - Thư mục L10_V012 đã xử lý, bỏ qua.
2025-04-19 19:54:07,562 - INFO - Thư mục L10_V011 đã xử lý, bỏ qua.
2025-04-19 19:54:07,562 - INFO - Thư mục L10_V023 đã xử lý, bỏ qua.
2025-04-19 19:54:07,562 - INFO - Thư mục L10_V013 đã xử lý, bỏ qua.
2025-04-19 19:54:07,562 - INFO - Thư mục L10_V007 đã xử lý, bỏ qua.
2025-04-19 19:54:07,562 - INFO - Thư mục L10_V009 đã xử lý, bỏ qua.
2025-04-19 19:54:07,562 - INFO - Thư mục L10_V026 đã xử lý, bỏ qua.
2025-04-19 19:54:07,563 - INFO - Thư mục L10_V014 đã xử lý, bỏ qua.
2025-04-19 19:54:07,563 - INFO - Thư mục L10_V022 đã xử lý, bỏ qua.
2025-04-19 19:54:07,563 - INFO - Thư mục L10_V029 đã xử lý, bỏ qua.
2025-04-19 19:54:07,563 - INFO - Thư mục L10_V020 đã xử lý, bỏ qua.
2025-04-19 19:54:07,563 - INFO - Thư mục L10_V001 đã xử lý, bỏ qua.
2025-04-19 19:54:07,563 - INFO - Thư mục L10_V019 đã xử lý, bỏ qua.
2025-04-19 19:54:07,563 - INFO - Thư mục L10_V005 đã xử lý, bỏ qua.
